,Year,Shares,Fuel,Weight (kg),Engine effect (kW),Prices (2015-DKK),key,kmL
96,2006,0.000409592,Benzin,2100,107.0,241779.2056,mazda-5-2006-Benzin,12.7
97,2006,0.000191885,Benzin,1175,46.0,129108.6449,suzuki-alto-2006-Benzin,20.4
98,2006,4.17e-05,Diesel,2265,160.0,1005734.813,bmw-x3-2006-Diesel,13.0
99,2006,8.78e-05,Benzin,1828,77.0,229226.6355,chevrolet-tacuma-2006-Benzin,12.5
100,2006,4.01e-05,Benzin,1725,375.0,4549065.421,ferrari-f430-2006-Benzin,5.6
101,2006,1.87e-05,Diesel,1890,103.0,315359.8131,honda-civic-2006-Diesel,18.9
102,2006,3.58e-05,Benzin,1775,77.0,231320.0935,hyundai-elantra-2006-Benzin,13.2
103,2006,3.34e-05,Benzin,2075,219.0,1973787.383,jaguar-xk-2006-Benzin,8.0
104,2006,6.83e-05,Diesel,1485,55.0,123831.7757,kia-picanto-2006-Diesel,22.7
105,2006,3.14e-05,Benzin,1575,85.0,330607.4766,mini-cooper-2006-Benzin,14.5
106,2006,9.14e-05,Benzin,1600,54.0,210268.6916,peugeot-1007-2006-Benzin,15.2
107,2006,3.26e-05,Diesel,1575,50.0,210268.6916,peugeot-1007-2006-Diesel,22.7
108,2006,4.53e-05,Diesel,1225,40.0,144848.1308,peugeot-107-2006-Diesel,24.4
109,2006,1.87e-05,Diesel,2500,100.0,601653.0374,peugeot-807-2006-Diesel,13.5
110,2006,3.54e-05,Benzin,1640,80.0,210163.5514,rover-45-2006-Benzin,14.3
111,2006,3.65e-05,Diesel,2050,81.0,461863.3178,seat-toledo-2006-Diesel,16.6
112,2006,3.34e-05,Diesel,1775,77.0,248832.9439,skoda-roomster-2006-Diesel,18.9
113,2006,3.42e-05,Diesel,2103,103.0,508176.4019,skoda-superb-2006-Diesel,15.9
114,2006,0.000101306,Diesel,1250,40.0,147075.9346,toyota-aygo-2006-Diesel,24.4
115,2006,3.93e-05,Diesel,1960,132.0,379082.9439,volvo-v50-2006-Diesel,20.0
116,2007,0.001737717,Benzin,1475,68.0,152686.5672,suzuki-swift-2007-Benzin,16.1
117,2007,0.001342386,Benzin,1585,59.0,144606.1998,opel-corsa-2007-Benzin,17.2
118,2007,0.001189151,Diesel,1995,77.0,300804.822,skoda-octavia-2007-Diesel,20.4
119,2007,0.001155187,Benzin,1500,47.0,157289.3226,skoda-fabia-2007-Benzin,14.5
120,2007,0.001130306,Benzin,1820,95.0,370445.465,toyota-avensis-2007-Benzin,13.9
121,2007,0.00110582,Diesel,1660,66.0,185982.7784,peugeot-207-2007-Diesel,21.7
122,2007,0.001060797,Benzin,1190,50.0,120539.6096,peugeot-107-2007-Benzin,23.3
123,2007,0.00101064,Diesel,2127,100.0,310010.333,peugeot-407-2007-Diesel,18.9
124,2007,0.000993263,Diesel,1525,50.0,167611.9403,peugeot-206-2007-Diesel,23.3
125,2007,0.00098497,Benzin,2035,81.0,369122.8473,toyota-corolla-2007-Benzin,13.9
126,2007,0.000956534,Benzin,1640,65.0,185982.7784,peugeot-207-2007-Benzin,15.6
127,2007,0.000876757,Benzin,2090,107.0,348016.0735,ford-mondeo-2007-Benzin,13.5
128,2007,0.000842793,Diesel,2475,171.0,1156227.325,audi-a6-2007-Diesel,11.9
129,2007,0.000834499,Benzin,1200,50.0,118417.9104,toyota-aygo-2007-Benzin,21.7
130,2007,0.000816332,Diesel,2000,66.0,247203.2147,peugeot-307-2007-Diesel,17.9
131,2007,0.000812778,Benzin,1460,55.0,167848.4501,mitsubishi-colt-2007-Benzin,16.1
132,2007,0.000805669,Diesel,1525,64.0,183903.5591,toyota-yaris-2007-Diesel,22.2
133,2007,0.000785132,Diesel,1970,93.0,370445.465,toyota-avensis-2007-Diesel,17.2
134,2007,0.000784737,Benzin,1715,132.0,227898.9667,opel-astra-2007-Benzin,13.2
135,2007,0.000771704,Benzin,2240,130.0,643582.0896,audi-a6-2007-Benzin,12.7
136,2007,0.000753537,Benzin,1550,71.0,131483.3525,hyundai-getz-2007-Benzin,18.2
137,2007,0.000739714,Diesel,2200,92.0,348016.0735,ford-mondeo-2007-Diesel,17.2
138,2007,0.000731816,Diesel,1665,55.0,152003.4443,fiat-punto-2007-Diesel,22.2
139,2007,0.000720363,Diesel,1685,51.0,157289.3226,skoda-fabia-2007-Diesel,21.7
140,2007,0.000692322,Benzin,1875,108.0,332950.6315,mazda-6-2007-Benzin,9.8
141,2007,0.000656383,Benzin,1820,74.0,272817.4512,ford-focus-2007-Benzin,13.3
142,2007,0.000652039,Benzin,1975,103.0,247203.2147,peugeot-307-2007-Benzin,13.0
143,2007,0.000649274,Diesel,1875,66.0,272817.4512,ford-focus-2007-Diesel,21.3
144,2007,0.00064414,Benzin,1600,48.0,152003.4443,fiat-punto-2007-Benzin,17.5
145,2007,0.00064256,Benzin,2280,103.0,540618.8289,volvo-v70-2007-Benzin,10.9
146,2007,0.000601092,Benzin,1350,48.0,102556.8312,kia-picanto-2007-Benzin,20.0
147,2007,0.000596353,Benzin,2100,93.0,299090.7003,mazda-5-2007-Benzin,12.2
148,2007,0.000575421,Benzin,1960,120.0,459142.3651,audi-a4-2007-Benzin,10.5
149,2007,0.000561993,Diesel,1820,85.0,219745.1206,kia-ceed-2007-Diesel,21.3
