Year;Make-model-year-fuel;Make;Model;Variant;Size segment;Fuel-size segment;No. of registrations;Shares;Prices (2015-DKK);Ownership cost (DKK);Weight (kg);Fuel;Engine effect (kW);Horsepower;Size (m3);Footprint (m�);Cost/km (DKK);fuelPrice (DKK/unit)
2006;fiat-dobl-2006-Benzin;fiat;dobl;1,4;Small;BenzinSmall;139;5.52E-05;199433.4112;180415.1812;1830;Benzin;57;77;12.946752;7.1136;0.837777778;11.31
2006;mazda-6-2006-Diesel;mazda;6;2,0 D STATIONSCAR;Small;DieselSmall;121;4.81E-05;327102.8037;241412.1495;2000;Diesel;105;147;12.021408;8.3482;0.608383234;10.16
2006;mitsubishi-outlander-2006-Benzin;mitsubishi;outlander;2,0;Large;BenzinLarge;115;4.57E-05;369100.4673;314146.7012;2075;Benzin;100;136;12.8709;7.945;1.077142857;11.31
2006;toyota-rav4-2006-Diesel;toyota;rav4;2,2 D - 4D MPV;Large;DieselLarge;106;4.21E-05;589370.3271;509047.1175;2190;Diesel;100;136;13.77376;8.008;0.668421053;10.16
2006;toyota-rav4-2006-Benzin;toyota;rav4;2,0 MPV;Large;BenzinLarge;105;4.17E-05;589370.3271;507127.1175;2110;Benzin;112;136;13.77376;8.008;1.018918919;11.31
2006;audi-a8-2006-Diesel;audi;a8;3,0 TDI;Large;DieselLarge;98;3.89E-05;2213635.514;1984778.533;2595;Diesel;0;296;14.94917667;10.1465;0.958490566;10.16
2006;nissan-micra-2006-Diesel;nissan;micra;1,5 DCI 5-DØRS;Small;DieselSmall;92;3.65E-05;165629.6729;150110.6713;1500;Diesel;48;65;9.509808;6.1752;0.468202765;10.16
2006;mazda-3-2006-Diesel;mazda;3;1,6 DIESEL HATCHBACK;Small;DieselSmall;87;3.46E-05;256632.0093;188470.9188;1775;Diesel;80;132;11.48126144;7.85312;0.508;10.16
2006;audi-tt-2006-Benzin;audi;tt;2,0 TFSI;Small;BenzinSmall;83;3.30E-05;943101.6355;843803.3853;1660;Benzin;147;250;10.38312;7.6912;0.87;11.31
2006;ford-galaxy-2006-Benzin;ford;galaxy;2,0;Large;BenzinLarge;82;3.26E-05;605140.1869;567987.6752;2415;Benzin;107;130;15.33724;8.917;0.92704918;11.31
2006;seat-ibiza-2006-Diesel;seat;ibiza;1,4 TDI;Small;DieselSmall;81;3.22E-05;168212.6168;152329.9625;1620;Diesel;96;80;9.6696;6.715;0.476995305;10.16
2006;audi-s6-2006-Benzin;audi;s6;5,2 AVANT AUT.;Large;BenzinLarge;78;3.10E-05;1857473.131;1669661.465;2600;Benzin;320;435;13.26924;9.1512;1.508;11.31
2006;bmw-5-serie-2006-Diesel;bmw;5-serie;535D TOURING AUT;Small;DieselSmall;744;0.000295574;905981.3084;806645.8663;2050;Diesel;140;0;13.34146;8.954;0.601183432;10.16
2006;seat-toledo-2006-Benzin;seat;toledo;1,6;Large;BenzinLarge;62;2.46E-05;461863.3178;407337.5813;1950;Benzin;75;140;11.124864;7.7256;0.87;11.31
2006;kia-carens-2006-Benzin;kia;carens;2,0 AUT.;Small;BenzinSmall;57;2.26E-05;291113.3178;248016.4449;1825;Benzin;102;113;12.650575;7.8575;0.87;11.31
2006;audi-s8-2006-Benzin;audi;s8;UOPLYST;Large;BenzinLarge;54;2.15E-05;2452213.785;2195160.926;2540;Benzin;331;450;13.580028;9.5634;1.508;11.31
2006;bmw-x3-2006-Benzin;bmw;x3;2,5 I;Large;BenzinLarge;43;1.71E-05;1005734.813;902975.5707;2275;Benzin;200;218;14.119015;8.4545;1.285227273;11.31
